screen_name,followers,rt,text
,,0,"b""RT @StartGrowthHack: What's the difference between #ArtificialIntelligence, #MachineLearning and #DeepLearning.\\n\\n#AI #BigData\\n\\nVia @2morrow\\u2026"""
,,0,b'RT @VladoBotsvadze: How much data is generated every minute in 2019? \\n\\nEmail 188M \\nText 18.1M \\nGiphy 4.8M \\n@YouTube 4.5M \\n@Google 4.4M \\n@Ti\\u2026'
,,0,b'RT @IainLJBrown: Department of Energy Announces $15 Million for Development of Artificial Intelligence and Machine Learning Tools - https:/\\u2026'
,,0,b'Integrating Python &amp; Tableau\\n\\n\\u261e https://t.co/u7LIzANUip\\n\\n#bigdata #hadoop https://t.co/3KTZMRH53y'
,,0,"b""RT @aerospikedb: Yesterday we announced that we've raised $32 Million in our equity round to accelerate investment to capitalize on mainstr\\u2026"""
,,0,b'Integrating Python &amp; Tableau\\n\\n\\u261e https://t.co/R7YDW3NYUs\\n\\n#bigdata #hadoop https://t.co/WifTHub6Vp'
,,0,b'C\\xf3mo #AI y una revoluci\\xf3n de datos cl\\xednicos guardada \\n@Intermountain\\n Sistema de salud $ 90 millones en menos de 5\\u2026 https://t.co/WsLhCSp6y3'
,,0,"b'RT @pratititech: 62% of #enterprises have adopted and implemented #AI to its full potential for #cybersecurity, or are still exploring addi\\u2026'"
,,0,"b'#JobNearMe : #Engineer, Big Data (Senior)\\n#AI #BigData #Burbank #Developer #Robotics #BigData \\nView &amp; Apply \\u261e\\u2026 https://t.co/jqxLkJSLL0'"
,,0,"b""RT @Primary_Immune: IDing what immune-system 'T-cells' have in their crosshairs - Big implications for infections, autoimmunity &amp; allergies\\u2026"""
,,0,b'\\xbfEst\\xe1 preparada tu empresa para afrontar los cambios que traer\\xe1 la #InteligenciaArtificial #MachineLearninig\\u2026 https://t.co/oiO8b6qUga'
,,0,b'RT @Ronald_vanLoon: #DataScience Summarized in One Picture\\n by @granvilledsc @DataScienceCtrl |\\n\\nRead more at https://t.co/YzsGk3BAl0\\n\\n #Ma\\u2026'
,,0,b'Read how @Prime_PBM teamed up with @SASsoftware fight prescription drug #fraud and find the needle in the #BigData\\u2026 https://t.co/PFtjBOcYof'
,,0,b'Internet of Things Living in #SmartCities \\n#Infographic\\nBy @Fisher85M\\n\\n#IoT #Healthcare #IIoT #M2M #CyberSecurity\\u2026 https://t.co/OGeNitPQXj'
,,0,b'RT @gcomo1: Internet of Things Living in #SmartCities \\n#Infographic\\nBy @Fisher85M\\n\\n#IoT #Healthcare #IIoT #M2M #CyberSecurity #Analytics #A\\u2026'
,,0,b'Get Big Discount on | #BlackFriday | #BlackFriday2019 | Tableau 10 A-Z: Hands-On Tableau Training For Data Science!\\u2026 https://t.co/kqbYgyPqgA'
,,0,b'\\U0001f4f1 \\xbfC\\xf3mo Digitalizar todas las Fases de una Obra de Construcci\\xf3n? \\U0001f3d7\\n\\U0001f4bbVisita el Siguiente Enlace:\\u2026 https://t.co/Vi4VqavcGT'
,,0,b'RT @WiscTechCouncil: \\U0001f44f Thanks again to our #Innovation luncheon speaker: Alan Halverson from @Microsoft Jim Gray Systems Lab at @UWMadison.\\u2026'
,,0,b'Practice Tests - AWS Big Data Specialty Certification\\n\\u261e https://t.co/va0upm1Tgd\\n\\n#BigData #Hadoop #ApacheSpark\\n9q79\\u2026 https://t.co/PpysoYhmuU'
,,0,b'The Data Fabric Journey \\u2013 Your Digital Transformation Roadmap\\nBy Early Adopter Research\\nNovember 2019 \\n#graph\\u2026 https://t.co/euuyXoade8'
,,0,b'The latest The ATSRA Feed! https://t.co/SUExbPDxQK Thanks to @COITAORM_AITA @mithunsugur @jonathanmedd #bigdata #cloud'
,,0,"b""RT @Primary_Immune: IDing what immune-system 'T-cells' have in their crosshairs - Big implications for infections, autoimmunity &amp; allergies\\u2026"""
,,0,b'#BigData and #finance go hand in hand. Take a look at three important financial services big data use cases to see\\u2026 https://t.co/APVxlMlR4h'
,,0,b'RT @marcusborba: Using #AI to better map the human brain\\n\\n#ArtificialIntelligence #DeepLearning #MachineLearning #Health #Hearthealth #Hear\\u2026'
,,0,b'RT @marcusborba: Using #AI to better map the human brain\\n\\n#ArtificialIntelligence #DeepLearning #MachineLearning #Health #Hearthealth #Hear\\u2026'
,,0,b'RT @wissink_miranda: @muijsjes @lobkevlaming Wat als dat het doel is.....#girfec #bigdata #verdienmodellen #selectieaandepoort'
,,0,b'Computer Hogging Your Family Time?\\n\\nhttps://t.co/SaYcOuFGXI\\n\\n#computer #computerscience #computers #data\\u2026 https://t.co/UYMCNe9IyV'
,,0,b'The best Motorola phones of 2019: find the best Moto smartphone for you: #AI #IoT #BigData MT @Mikequindazzi\\u2026 https://t.co/0BTSbsqwC4'
,,0,b'RT @pepperdata: #BigData and #finance go hand in hand. Take a look at three important financial services big data use cases to see how big\\u2026'
,,0,b'Po aver si lo ficha el @MontequintoCD #fijarzebien #BigData \\U0001f49a\\u26bd'
,,0,b'RT @dlearningland: Get Big Discount on | #BlackFriday | #BlackFriday2019 | Tableau 10 A-Z: Hands-On Tableau Training For Data Science!\\n\\nhtt\\u2026'
,,0,"b'Singapore, London and San Francisco lead in global study of smart mobility \\n https://t.co/kBUKvCK9rJ\\nBy\\u2026 https://t.co/4UqkcORfST'"
,,0,"b'RT @gcomo1: Singapore, London and San Francisco lead in global study of smart mobility \\n https://t.co/kBUKvCK9rJ\\nBy @Frost_Latam \\n\\n#SupplyC\\u2026'"
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'RT @fasesdelabolsa: @geniotweets #PedroSanchezDimision #BIGDATA'
,,0,b'RT @pulsetuit: Las reacciones de la #SentenciaERE en #Twitter.\\n\\n#Pulsetuit: Analyze sentiments on Twitter in real time\\nhttps://t.co/WyAaoEQ\\u2026'
,,0,"b'RT @Aebanca: \\xbfSabes lo que es el #bigdata? Si te interesa conocer sus oportunidades y aplicaciones en el sector financiero, no te pierdas e\\u2026'"
,,0,b'RT @reach2ratan: Code Execution Vulnerability Found In Symantec Endpoint Protection https://t.co/RAC01nGQCK\\n\\n#CyberSecurity #Databreach #Ha\\u2026'
,,0,"b'RT @maxjcm: #AI rapidly entering #healthcare and serving major roles, from automating drudgery and routine tasks\\n\\n#artificialintelligence #\\u2026'"
,,0,b'Le maximum pour les r\\xe9colter ? \\nBah on doit pas \\xeatre bien loin l\\xe0....'
,,0,b'Data science: Breaking down the silos https://t.co/xfRjxEzMhU\\n\\n#DataScience #BigData'
,,0,b'RT @Reformatage: Le maximum pour les r\\xe9colter ? \\nBah on doit pas \\xeatre bien loin l\\xe0.... https://t.co/TxDAG20n81'
,,0,b'La esto @CarlosAlvQ'
,,0,b'RT @marcusborba: Using #AI to better map the human brain\\n\\n#ArtificialIntelligence #DeepLearning #MachineLearning #Health #Hearthealth #Hear\\u2026'
,,0,"b'RT @KirkDBorne: This 10-page (PDF) #DataScience Cheat Sheet covers concepts in Statistical Learning, #MachineLearning, #DeepLearning, Proba\\u2026'"
,,0,b'RT @maxjcm: 60% of #security and #IT professionals security is the leading challenge with #cloud migrations\\n\\n#cloud #AI #ML #DeepLearning #\\u2026'
,,0,b'RT @reach2ratan: Code Execution Vulnerability Found In Symantec Endpoint Protection https://t.co/RAC01nGQCK\\n\\n#CyberSecurity #Databreach #Ha\\u2026'
,,0,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-19 23:50:02\\n#Bitcoin: $8,187.700\\n#Ethereum: $175.850\\n#XRP: $0.253\\u2026 https://t.co/4BNkVzufji'"
